name,city,country_iso,code,lat,longit,alt
Cancún International Airport,Cancun,MX,CUN,21.036500930800003,-86.8770980835,22
Carlos Rovirosa Pérez International Airport,Villahermosa,MX,VSA,17.996999740600586,-92.81739807128906,46
General Heriberto Jara International Airport,Vera Cruz,MX,VER,19.1459007263,-96.1873016357,90
General Leobardo C. Ruiz International Airport,Zacatecas,MX,ZCL,22.8971004486,-102.68699646,7141
Ixtapa Zihuatanejo International Airport,Zihuatanejo,MX,ZIH,17.601600647,-101.460998535,26
Zamora Airport,Zamora,MX,ZMM,20.045,-102.276001,5141
Playa De Oro International Airport,Manzanillo,MX,ZLO,19.1448001862,-104.558998108,30
Bluefields Airport,Bluefields,NI,BEF,11.991000175476074,-83.77410125732422,20
Augusto C. Sandino (Managua) International Airport,Managua,NI,MGA,12.14150047302246,-86.16819763183594,194
Puerto Cabezas Airport,Puerto Cabezas,NI,PUZ,14.047200202941896,-83.38670349121094,52
Bocas Del Toro International Airport,Bocas Del Toro,PA,BOC,9.340849876403809,-82.25080108642578,10
Cap Manuel Niño International Airport,Changuinola,PA,CHX,9.458962,-82.515062,19
Enrique Malek International Airport,David,PA,DAV,8.390999794006348,-82.43499755859375,89
Panama Pacific International Airport,Howard,PA,BLB,8.91479,-79.599602,52
Marcos A. Gelabert International Airport,Panama,PA,PAC,8.973340034484863,-79.55560302734375,31
